"case","wkt","xmin","ymin","xmax","ymax","ncol","nrow","wkb_hex"
"aligned_rect","POLYGON ((2 4, 6 4, 6 8, 2 8, 2 4))",0,0,10,10,10,10,"010300000001000000050000000000000000000040000000000000104000000000000018400000000000001040000000000000184000000000000020400000000000000040000000000000204000000000000000400000000000001040"
"offset_rect","POLYGON ((2.5 4.5, 6.5 4.5, 6.5 8.5, 2.5 8.5, 2.5 4.5))",0,0,10,10,10,10,"01030000000100000005000000000000000000044000000000000012400000000000001a4000000000000012400000000000001a4000000000000021400000000000000440000000000000214000000000000004400000000000001240"
"triangle","POLYGON ((13.3 17.7, 88.1 22.4, 41.9 79.2, 13.3 17.7))",0,0,100,100,37,41,"010300000001000000040000009a99999999992a403333333333b33140666666666606564066666666666636403333333333f34440cdcccccccccc53409a99999999992a403333333333b33140"
"hole_ccw","POLYGON ((1 1, 9 1, 9 9, 1 9, 1 1), (3 3, 7 3, 7 7, 3 7, 3 3))",0,0,10,10,20,20,"01030000000200000005000000000000000000f03f000000000000f03f0000000000002240000000000000f03f00000000000022400000000000002240000000000000f03f0000000000002240000000000000f03f000000000000f03f05000000000000000000084000000000000008400000000000001c4000000000000008400000000000001c400000000000001c4000000000000008400000000000001c4000000000000008400000000000000840"
"hole_cw","POLYGON ((1 1, 9 1, 9 9, 1 9, 1 1), (3 3, 3 7, 7 7, 7 3, 3 3))",0,0,10,10,20,20,"01030000000200000005000000000000000000f03f000000000000f03f0000000000002240000000000000f03f00000000000022400000000000002240000000000000f03f0000000000002240000000000000f03f000000000000f03f050000000000000000000840000000000000084000000000000008400000000000001c400000000000001c400000000000001c400000000000001c40000000000000084000000000000008400000000000000840"
"multipolygon","MULTIPOLYGON (((1 1, 3 1, 3 3, 1 3, 1 1)), ((6 6, 9 6, 9 9, 6 9, 6 6)))",0,0,10,10,10,10,"01060000000200000001030000000100000005000000000000000000f03f000000000000f03f0000000000000840000000000000f03f00000000000008400000000000000840000000000000f03f0000000000000840000000000000f03f000000000000f03f010300000001000000050000000000000000001840000000000000184000000000000022400000000000001840000000000000224000000000000022400000000000001840000000000000224000000000000018400000000000001840"
"beyond_extent","POLYGON ((-100 -100, 100 -100, 100 100, -100 100, -100 -100))",0,0,10,10,5,5,"0103000000010000000500000000000000000059c000000000000059c0000000000000594000000000000059c00000000000005940000000000000594000000000000059c0000000000000594000000000000059c000000000000059c0"
"straddle","POLYGON ((-5 2.5, 4.5 2.5, 4.5 6.5, -5 6.5, -5 2.5))",0,0,10,10,10,10,"0103000000010000000500000000000000000014c000000000000004400000000000001240000000000000044000000000000012400000000000001a4000000000000014c00000000000001a4000000000000014c00000000000000440"
"line_diagonal","LINESTRING (0.5 0.5, 9.5 7.5)",0,0,10,10,10,10,"010200000002000000000000000000e03f000000000000e03f00000000000023400000000000001e40"
"points_mixed","MULTIPOINT ((0.5 9.5), (9.5 0.5), (15 5))",0,0,10,10,10,10,"0104000000030000000101000000000000000000e03f000000000000234001010000000000000000002340000000000000e03f01010000000000000000002e400000000000001440"
